Variation,visit_id,steps,total_steps,backward_steps
Control,100037962_47432393712_705583,"(2, 1)",2,1
Control,100057941_88477660212_944512,"(6, 1)",6,1
Control,10006594_66157970412_679648,"(5, 1)",5,1
Control,10007589_47780784567_391490,"(4, 0)",4,0
Control,100096068_8301717872_987164,"(1, 0)",1,0
Control,100105975_18174738494_196339,"(0, 0)",0,0
Control,100195539_90558871716_822894,"(3, 1)",3,1
Control,10024125_38177552152_999695,"(1, 0)",1,0
Control,100254180_47139859079_984581,"(4, 0)",4,0
Control,100309269_21684743336_936307,"(4, 0)",4,0
Control,10045388_98429038488_557266,"(4, 1)",4,1
Control,100471971_3065983298_584030,"(4, 0)",4,0
Control,100481857_71511233596_788753,"(6, 1)",6,1
Control,100535920_68686957750_105554,"(2, 0)",2,0
Control,100583476_33244068453_144866,"(3, 0)",3,0
Control,100608591_65788886975_921579,"(4, 0)",4,0
Control,100665997_91063490926_34691,"(3, 0)",3,0
Control,100696989_79957693336_140112,"(1, 0)",1,0
Control,100733473_61604582110_215085,"(4, 0)",4,0
Control,100742196_25888718318_18393,"(4, 0)",4,0
Control,100768839_4432812320_405870,"(4, 0)",4,0
Control,100810638_79925673386_145828,"(0, 0)",0,0
Control,100847537_74227021314_737120,"(1, 0)",1,0
Control,100911179_58982643631_833777,"(4, 0)",4,0
Control,100982387_94833499276_254813,"(4, 0)",4,0
Control,100990512_10313858825_28429,"(6, 3)",6,3
Control,101018131_98163417200_901367,"(0, 0)",0,0
Control,101094131_85383261552_788150,"(1, 0)",1,0
Control,101120116_70489660261_84827,"(4, 0)",4,0
Control,101127163_76213781950_64100,"(6, 1)",6,1
Control,101140098_34485335341_198445,"(1, 0)",1,0
Control,101143883_71782939078_772553,"(7, 1)",7,1
Control,101228955_33584697901_374290,"(3, 1)",3,1
Control,101299207_34352941387_283858,"(4, 0)",4,0
Control,10132415_28171840649_223256,"(4, 0)",4,0
Control,101356945_38257202995_214098,"(1, 0)",1,0
Control,101420660_70864320063_268486,"(4, 0)",4,0
Control,10146625_55092448080_942181,"(4, 0)",4,0
Control,101587529_99858300359_232850,"(1, 0)",1,0
Control,101632251_3972004281_699230,"(4, 1)",4,1
Control,101632913_38542641459_604433,"(4, 0)",4,0
Control,101657019_35350936910_130328,"(4, 1)",4,1
Control,101715826_97622208061_360008,"(3, 0)",3,0
Control,101723155_55190658662_237894,"(4, 0)",4,0
Control,101780244_22851723186_748129,"(0, 0)",0,0
Control,101815309_16518757746_588210,"(4, 0)",4,0
Control,101822764_25803298242_795564,"(2, 0)",2,0
Control,101884417_53293783110_925967,"(2, 0)",2,0
Control,101886605_42106504820_186284,"(2, 0)",2,0
Control,101943895_86775091670_183092,"(8, 1)",8,1
Control,10195285_83113954302_914786,"(7, 1)",7,1
Control,101992635_61594742250_953624,"(4, 0)",4,0
Control,102011341_65573429752_679025,"(2, 1)",2,1
Control,102039130_96083762708_562998,"(4, 0)",4,0
Control,10208190_60248923635_552228,"(2, 0)",2,0
Control,102087008_74127215915_642470,"(6, 1)",6,1
Control,10210243_96284954273_763426,"(3, 1)",3,1
Control,102107667_79348620618_407005,"(3, 1)",3,1
Control,102117430_8358683171_251810,"(4, 0)",4,0
Control,102156481_9712246009_751130,"(1, 0)",1,0
Control,102172447_66154207246_163667,"(1, 0)",1,0
Control,102193071_86164823980_207231,"(4, 2)",4,2
Control,10219761_62886288888_316058,"(1, 0)",1,0
Control,102211813_41749528713_49412,"(4, 2)",4,2
Control,102241937_44186923257_675771,"(4, 0)",4,0
Control,102444768_32769766838_982610,"(4, 0)",4,0
Control,102461853_89884307837_366717,"(3, 0)",3,0
Control,10250417_54755943070_630567,"(0, 0)",0,0
Control,102530721_90592399939_135279,"(4, 1)",4,1
Control,102658008_48118015069_66903,"(0, 0)",0,0
Control,102665060_37915112799_22973,"(4, 0)",4,0
Control,102700395_3650299328_241644,"(4, 0)",4,0
Control,102711693_32673812507_268789,"(3, 0)",3,0
Control,102732284_85491431716_901533,"(5, 1)",5,1
Control,102801864_49345732746_12571,"(3, 1)",3,1
Control,102949387_26784818853_893988,"(0, 0)",0,0
Control,103021888_19484517133_523435,"(3, 0)",3,0
Control,103049564_53637551445_140548,"(8, 1)",8,1
Control,103074110_36036427436_224168,"(4, 0)",4,0
Control,103097108_59620739018_675854,"(3, 0)",3,0
Control,103099657_39558218628_73278,"(4, 2)",4,2
Control,103206917_79424670085_548578,"(4, 0)",4,0
Control,103259230_91726805198_42860,"(4, 0)",4,0
Control,103262112_44272205554_17076,"(4, 0)",4,0
Control,103282678_27042361815_851705,"(4, 0)",4,0
Control,103288968_42584086301_52288,"(4, 0)",4,0
Control,103386244_38229139313_546758,"(4, 0)",4,0
Control,103389609_87597000224_651297,"(4, 2)",4,2
Control,103390146_17791176841_983341,"(4, 0)",4,0
Control,103429659_37868581419_964988,"(4, 0)",4,0
Control,103452266_65589345292_334664,"(4, 0)",4,0
Control,103510306_94152799763_79978,"(3, 0)",3,0
Control,103514777_61647169544_119343,"(1, 0)",1,0
Control,103547153_48132333098_296164,"(4, 0)",4,0
Control,103587918_85812829742_55398,"(4, 0)",4,0
Control,103601194_76355185230_460744,"(8, 2)",8,2
Control,103609069_67444114796_723567,"(6, 1)",6,1
Control,103652701_73650629217_989700,"(2, 1)",2,1
Control,103672872_27263820810_450006,"(4, 0)",4,0
Control,103685128_7533224952_117209,"(3, 0)",3,0
Control,103728654_862458844_13886,"(0, 0)",0,0
Control,103760599_69968167899_342222,"(4, 2)",4,2
Control,103771513_78523843872_7154,"(1, 0)",1,0
Control,103808018_38026064618_356916,"(4, 0)",4,0
Control,103828097_2964593896_769569,"(9, 3)",9,3
Control,103844930_39480104147_119972,"(4, 0)",4,0
Control,103962335_25060963174_327284,"(8, 2)",8,2
Control,104072021_28244059579_597590,"(1, 0)",1,0
Control,104083800_60349476282_456725,"(4, 0)",4,0
Control,104102344_440726316_757498,"(2, 1)",2,1
Control,104145193_36067138148_118971,"(0, 0)",0,0
Control,104169592_44210761083_702489,"(4, 0)",4,0
Control,104222319_64628836240_918404,"(6, 1)",6,1
Control,104270547_21421209917_971358,"(4, 0)",4,0
Control,104326589_70843130712_906222,"(1, 0)",1,0
Control,104362744_26476684339_478439,"(0, 0)",0,0
Control,104376122_49318033660_691105,"(2, 0)",2,0
Control,104561734_15618293043_834527,"(2, 0)",2,0
Control,104604981_52018008817_489927,"(1, 0)",1,0
Control,104611358_99312923751_651012,"(4, 0)",4,0
Control,104629663_11646004013_508037,"(4, 0)",4,0
Control,104678659_36278223108_614428,"(4, 0)",4,0
Control,104712046_60126982288_337420,"(4, 1)",4,1
Control,104779581_5871971578_957356,"(0, 0)",0,0
Control,104874051_46248484407_868424,"(1, 0)",1,0
Control,104944548_40883139441_93173,"(4, 0)",4,0
Control,105021761_97762713751_883613,"(4, 2)",4,2
Control,105048078_55050699627_845365,"(0, 0)",0,0
Control,105091881_38847710974_589990,"(4, 0)",4,0
Control,105130588_83395941950_968824,"(4, 0)",4,0
Control,105231784_73768895001_439276,"(4, 0)",4,0
Control,10525585_16624908258_755243,"(4, 0)",4,0
Control,105267422_78903782197_367795,"(7, 2)",7,2
Control,105310597_44245617177_116573,"(4, 0)",4,0
Control,105356822_18107865160_411243,"(6, 1)",6,1
Control,105397247_2189954903_518088,"(6, 1)",6,1
Control,105429711_80835396569_655126,"(0, 0)",0,0
Control,105458872_73633905256_530797,"(6, 1)",6,1
