,client_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,Variation,age_group
0,836976,6.083333333333333,73.0,60.5,U,2.0,45105.3,6.0,9.0,Test,61-70
1,2304905,7.833333333333333,94.0,58.0,U,2.0,110860.3,6.0,9.0,Control,51-60
2,1439522,5.333333333333333,64.0,32.0,U,2.0,52467.78999999999,6.0,9.0,Test,31-40
3,1562045,16.5,198.0,49.0,M,2.0,67454.65,3.0,6.0,Test,41-50
4,5126305,12.083333333333334,145.0,33.0,F,2.0,103671.75,0.0,3.0,Control,31-40
5,3727881,5.916666666666667,71.0,30.5,U,2.0,23915.6,0.0,3.0,Control,31-40
6,272934,5.5,66.0,58.5,U,2.0,27021.42,2.0,5.0,Control,51-60
7,388801,30.083333333333332,361.0,57.5,M,5.0,522498.72,1.0,4.0,Test,51-60
8,285619,30.75,369.0,67.5,M,2.0,299388.72,3.0,6.0,Control,61-70
9,8198645,15.75,189.0,54.5,F,2.0,382303.83,6.0,9.0,Test,51-60
10,8368822,8.333333333333334,100.0,34.5,U,2.0,75578.54000000001,0.0,3.0,Control,31-40
11,2537139,8.25,99.0,51.5,U,2.0,135940.68,6.0,9.0,Control,51-60
12,2208717,5.583333333333333,67.0,33.0,U,2.0,29782.96,6.0,9.0,Test,31-40
13,2214073,16.083333333333332,193.0,62.5,M,3.0,136818.03,6.0,9.0,Test,61-70
14,2368987,5.916666666666667,71.0,54.5,U,2.0,44408.869999999995,2.0,5.0,Control,51-60
15,2892152,4.833333333333333,58.0,36.0,U,2.0,46815.48,5.0,8.0,Test,31-40
16,4536541,3.9166666666666665,47.0,74.0,U,2.0,47804.5,1.0,4.0,Test,70+
17,3788589,10.166666666666666,122.0,32.5,M,2.0,30750.76,0.0,3.0,Control,31-40
18,719792,11.333333333333334,136.0,31.0,F,2.0,111736.78,5.0,8.0,Test,31-40
19,5904035,8.416666666666666,101.0,25.5,U,2.0,27848.76,3.0,6.0,Test,0-30
20,1502049,8.333333333333334,100.0,31.0,U,2.0,28952.15,0.0,3.0,Control,31-40
21,6590646,8.583333333333334,103.0,42.5,F,3.0,2768726.87,5.0,8.0,Test,41-50
22,7585111,5.833333333333333,70.0,42.0,U,3.0,36621.41,1.0,4.0,Control,41-50
23,3638336,12.666666666666666,152.0,30.5,M,3.0,54296.67,3.0,6.0,Test,31-40
24,9520009,13.333333333333334,160.0,30.0,M,2.0,61062.57,6.0,9.0,Control,0-30
25,1508759,6.666666666666667,80.0,58.5,U,2.0,66514.85,4.0,7.0,Test,51-60
26,9381346,7.333333333333333,88.0,62.5,U,2.0,272252.76,0.0,3.0,Control,61-70
27,7035604,7.166666666666667,86.0,30.5,U,2.0,28175.92,1.0,4.0,Control,31-40
28,3055315,5.416666666666667,65.0,34.5,F,2.0,66560.69,1.0,5.0,Control,31-40
29,3350906,5.666666666666667,68.0,55.0,U,2.0,88627.18,2.0,5.0,Control,51-60
30,2109862,7.75,93.0,38.0,U,2.0,35917.29,2.0,5.0,Test,31-40
31,1549737,7.833333333333333,94.0,68.5,U,2.0,35608.94,1.0,4.0,Control,61-70
32,7474517,6.083333333333333,73.0,52.5,U,2.0,53993.47,4.0,7.0,Control,51-60
