visit_id,start,step_1,step_2,confirm,Confirmed
10006594_66157970412_679648,1,1,1,1,Confirmed
10007589_47780784567_391490,1,1,1,1,Confirmed
100254180_47139859079_984581,1,1,1,1,Confirmed
100309269_21684743336_936307,1,1,1,1,Confirmed
100471971_3065983298_584030,2,1,1,1,Confirmed
100481857_71511233596_788753,1,1,2,1,Confirmed
100608591_65788886975_921579,1,1,1,1,Confirmed
100733473_61604582110_215085,1,1,1,1,Confirmed
100742196_25888718318_18393,1,1,1,1,Confirmed
100768839_4432812320_405870,1,1,1,1,Confirmed
100911179_58982643631_833777,1,1,1,1,Confirmed
100982387_94833499276_254813,1,1,1,1,Confirmed
101120116_70489660261_84827,1,1,1,1,Confirmed
101127163_76213781950_64100,1,2,2,1,Confirmed
101143883_71782939078_772553,3,2,2,1,Confirmed
101299207_34352941387_283858,1,1,1,1,Confirmed
10132415_28171840649_223256,1,1,1,1,Confirmed
101420660_70864320063_268486,1,1,1,1,Confirmed
10146625_55092448080_942181,1,1,1,1,Confirmed
101632913_38542641459_604433,2,1,1,1,Confirmed
101723155_55190658662_237894,1,1,1,1,Confirmed
101815309_16518757746_588210,1,1,1,1,Confirmed
101943895_86775091670_183092,3,2,2,1,Confirmed
10195285_83113954302_914786,2,2,2,1,Confirmed
101992635_61594742250_953624,1,1,1,1,Confirmed
102039130_96083762708_562998,1,1,1,1,Confirmed
102087008_74127215915_642470,1,1,2,1,Confirmed
102117430_8358683171_251810,1,1,1,1,Confirmed
102241937_44186923257_675771,1,1,1,1,Confirmed
102444768_32769766838_982610,1,1,1,1,Confirmed
102665060_37915112799_22973,1,1,1,1,Confirmed
102700395_3650299328_241644,1,1,1,1,Confirmed
102732284_85491431716_901533,1,2,1,1,Confirmed
103049564_53637551445_140548,2,2,2,1,Confirmed
103074110_36036427436_224168,1,1,1,1,Confirmed
103206917_79424670085_548578,1,1,1,1,Confirmed
103259230_91726805198_42860,1,1,1,1,Confirmed
103262112_44272205554_17076,1,1,1,1,Confirmed
103282678_27042361815_851705,1,1,1,1,Confirmed
103288968_42584086301_52288,2,1,1,1,Confirmed
103386244_38229139313_546758,1,1,1,1,Confirmed
103390146_17791176841_983341,2,1,1,1,Confirmed
103429659_37868581419_964988,1,1,1,3,Confirmed
103452266_65589345292_334664,1,1,1,1,Confirmed
103547153_48132333098_296164,1,1,1,1,Confirmed
103587918_85812829742_55398,1,1,1,1,Confirmed
103601194_76355185230_460744,1,1,3,1,Confirmed
103609069_67444114796_723567,2,2,1,1,Confirmed
103672872_27263820810_450006,1,1,1,1,Confirmed
103808018_38026064618_356916,1,1,1,1,Confirmed
103828097_2964593896_769569,1,2,3,1,Confirmed
103844930_39480104147_119972,1,1,1,1,Confirmed
103962335_25060963174_327284,2,3,2,1,Confirmed
104083800_60349476282_456725,1,1,1,1,Confirmed
104169592_44210761083_702489,1,1,1,1,Confirmed
104222319_64628836240_918404,2,2,1,1,Confirmed
104270547_21421209917_971358,1,1,1,1,Confirmed
104611358_99312923751_651012,1,1,1,1,Confirmed
104629663_11646004013_508037,1,1,1,1,Confirmed
104678659_36278223108_614428,1,1,1,1,Confirmed
104944548_40883139441_93173,1,1,2,1,Confirmed
105091881_38847710974_589990,1,1,1,1,Confirmed
105130588_83395941950_968824,1,1,1,1,Confirmed
105231784_73768895001_439276,2,1,1,1,Confirmed
10525585_16624908258_755243,1,1,1,1,Confirmed
105267422_78903782197_367795,3,2,1,1,Confirmed
105310597_44245617177_116573,1,1,1,1,Confirmed
105356822_18107865160_411243,1,1,2,1,Confirmed
105397247_2189954903_518088,2,2,2,1,Confirmed
105458872_73633905256_530797,2,2,1,1,Confirmed
105458894_14199333129_3131,2,1,1,1,Confirmed
105463936_33665073256_202725,1,1,1,1,Confirmed
105687916_37056975038_128942,1,1,1,1,Confirmed
105727237_33299933441_343945,2,2,2,1,Confirmed
105849068_17000709084_830710,1,1,1,1,Confirmed
105877223_61802077621_417951,1,1,2,1,Confirmed
1058878_6068392397_212360,2,1,1,1,Confirmed
105981591_70237515451_29158,1,2,1,1,Confirmed
105998803_62630916167_181478,1,3,3,1,Confirmed
106020402_81964804358_151571,2,3,2,1,Confirmed
106062830_23704503289_392883,1,1,1,1,Confirmed
106077428_2572724392_430646,1,1,1,1,Confirmed
106162458_13073625157_259055,1,1,2,1,Confirmed
106188542_73791453439_396070,2,3,1,1,Confirmed
106221391_55485370533_288682,1,1,1,1,Confirmed
106230609_98155655442_299610,1,1,1,1,Confirmed
106232894_58365287236_311352,1,1,1,1,Confirmed
106288735_5496759638_969218,1,1,1,1,Confirmed
106516319_17231742424_451640,1,1,1,1,Confirmed
106530045_50715786080_839962,1,3,2,1,Confirmed
106588504_5828543624_414168,1,2,3,1,Confirmed
106679528_83928157480_253697,2,2,1,1,Confirmed
106728830_24796395479_680506,2,2,1,1,Confirmed
106742846_97029063001_192846,1,1,1,1,Confirmed
106749425_84660712069_228934,1,1,1,1,Confirmed
106762185_22787047103_166209,2,1,1,1,Confirmed
10676892_62797396948_321032,1,1,1,1,Confirmed
106805459_62507842156_488717,1,1,1,1,Confirmed
106809676_34736821159_772023,1,1,1,1,Confirmed
10691547_6905772212_536480,1,2,2,1,Confirmed
106973227_30712029071_656405,1,1,1,1,Confirmed
106991823_36926773912_894581,1,1,3,1,Confirmed
10701368_33671322700_675209,1,1,1,1,Confirmed
1070340_64433955447_943502,1,1,1,1,Confirmed
107090185_43642799759_974372,1,1,1,1,Confirmed
10721468_20141279440_61193,1,1,1,1,Confirmed
107222483_8242134100_684417,1,1,1,1,Confirmed
107291547_22481134147_322645,1,1,1,1,Confirmed
10736492_51772568397_109044,1,1,1,1,Confirmed
10748725_78351965784_819901,1,1,1,5,Confirmed
107498847_67594416067_869316,1,1,1,1,Confirmed
10750371_16783231389_198484,1,1,1,1,Confirmed
107631330_22230037486_301416,2,3,5,3,Confirmed
107641279_72757423441_432705,1,1,1,1,Confirmed
107670967_98557689633_256472,1,1,1,1,Confirmed
107693237_96368288508_746463,1,1,2,1,Confirmed
10781030_88249762808_198895,1,1,1,1,Confirmed
107812476_47194111740_635808,1,1,1,1,Confirmed
107975394_61350699882_375756,1,1,1,1,Confirmed
108088171_11964436695_942392,1,1,1,1,Confirmed
108128640_13820221567_570627,1,1,1,1,Confirmed
108132969_24758442202_975841,1,1,1,1,Confirmed
108152866_12655231835_411925,1,1,1,1,Confirmed
108160928_74041165668_179601,1,1,3,1,Confirmed
10817171_50453956454_434089,1,1,1,1,Confirmed
108185369_27453506388_542429,2,2,2,1,Confirmed
1081884_88414139180_854167,1,1,1,1,Confirmed
10819387_86190387051_69793,1,1,1,1,Confirmed
108207988_38370547354_997031,1,1,1,1,Confirmed
10823683_86056158289_300788,1,3,7,1,Confirmed
108397960_79834715554_939840,1,1,1,1,Confirmed
108554619_78952596421_643514,2,1,1,1,Confirmed
108631730_52513210497_452167,2,4,3,1,Confirmed
108632786_58840162832_280089,1,1,5,1,Confirmed
108686729_34233509984_14487,1,2,2,1,Confirmed
108690991_98901585957_570,1,2,2,1,Confirmed
10871633_1705641651_226934,2,1,1,1,Confirmed
108905338_14872524601_905668,1,1,2,1,Confirmed
108907799_62013523001_254981,1,1,1,1,Confirmed
10893632_5786602531_586085,1,1,1,1,Confirmed
108937428_94918779072_42035,1,1,1,1,Confirmed
108957383_41514350677_193670,1,1,1,1,Confirmed
109011250_15395719573_228235,1,1,1,1,Confirmed
109126522_89302360716_797418,1,1,1,1,Confirmed
109140695_24859270597_694344,1,1,1,1,Confirmed
109154154_68812231163_309521,1,1,1,1,Confirmed
109178915_88566590610_326604,1,1,1,1,Confirmed
109254991_66090324429_451565,2,1,1,1,Confirmed
109266551_86824413138_988298,2,1,1,1,Confirmed
109270825_70428791942_253169,1,1,1,1,Confirmed
109341543_93834603351_339892,1,1,1,1,Confirmed
10934213_8358643379_64047,1,1,2,1,Confirmed
109348025_27992284703_535018,1,1,1,1,Confirmed
109478439_46834904677_537548,1,1,1,1,Confirmed
109493483_32835460568_770553,1,1,1,1,Confirmed
109837753_21589558825_892617,1,1,1,1,Confirmed
109853243_54038366030_348387,1,1,1,1,Confirmed
109887260_69500309963_355398,1,1,1,1,Confirmed
109985769_23587300049_49862,1,1,1,1,Confirmed
110028919_87375981057_54923,1,1,1,1,Confirmed
110077423_47121627403_507093,1,1,1,1,Confirmed
110188436_84937351201_276106,2,2,2,1,Confirmed
110282786_63380697757_292711,1,1,1,1,Confirmed
110307202_34636181112_192510,2,2,1,1,Confirmed
110357480_44657547325_549221,1,1,1,1,Confirmed
110370392_24256998198_114037,1,1,2,1,Confirmed
110389785_41987072969_79530,1,2,3,1,Confirmed
11039402_67593207357_110439,1,1,3,1,Confirmed
110396168_29164529346_22732,4,1,1,1,Confirmed
110477187_9291835195_280023,1,1,1,1,Confirmed
11049489_90808735976_373672,1,1,1,1,Confirmed
110503428_41861954003_178066,2,2,1,1,Confirmed
110529988_53459954592_574647,1,1,1,1,Confirmed
11054834_9291749319_320607,1,2,2,1,Confirmed
110602169_70496154144_443274,1,1,1,1,Confirmed
110644352_58623709359_189784,1,1,1,1,Confirmed
110720215_97248493330_744168,1,1,1,1,Confirmed
